iter	RMSE
0	26.25745755
1	25.45738859
2	24.71776678
3	24.03099734
4	23.37962441
5	22.76462192
6	22.19628989
7	21.65383699
8	21.15078075
9	20.68156014
10	20.24171041
11	19.8414086
12	19.47317646
13	19.12497871
14	18.80406326
15	18.5048455
16	18.23400299
17	17.98275273
18	17.74898118
19	17.52435795
20	17.31109835
21	17.12190361
22	16.94366409
23	16.78647367
24	16.63095524
25	16.49496025
26	16.35857244
27	16.23366372
28	16.11728637
29	16.01521178
30	15.91939656
31	15.83504869
32	15.74709532
33	15.67283519
34	15.60631065
35	15.54136506
36	15.4811615
37	15.41729815
38	15.36877869
39	15.31915193
40	15.26753294
41	15.22720317
42	15.18583669
43	15.15098036
44	15.11953073
45	15.08216576
46	15.04713702
47	15.02316782
48	14.99244515
49	14.97037232
50	14.94726822
51	14.92066031
52	14.88885804
