iter	Passed	Remaining
0	21	10533
1	42	10515
2	63	10579
3	82	10186
4	99	9803
5	121	10024
6	143	10121
7	163	10080
8	179	9780
9	205	10080
10	236	10510
11	261	10640
12	276	10344
13	294	10210
14	316	10248
15	339	10257
16	358	10172
17	377	10112
18	412	10451
19	442	10627
20	460	10493
21	473	10291
22	489	10144
23	504	10008
24	519	9877
25	535	9767
26	555	9726
27	576	9712
28	594	9658
29	612	9598
30	624	9447
31	638	9332
32	655	9278
33	673	9226
34	691	9183
35	706	9100
36	724	9061
37	751	9139
38	779	9213
39	799	9189
40	811	9080
41	822	8970
42	836	8891
43	849	8803
44	861	8709
45	873	8620
46	885	8538
47	898	8456
48	911	8385
49	923	8307
50	936	8241
51	949	8177
52	962	8115
